nome;estrelas;criado_em;atualizado_em;idade_anos;linguagem;pull_requests_aceitas;total_releases;total_issues;issues_fechadas;razao_issues_fechadas;dias_desde_atualizacao
kubernetes/kubernetes;120827;2014-06-06;2026-02-28;11.73;Go;63922;784;48591;46760;0.9623;0
electron/electron;120241;2013-04-11;2026-02-28;12.88;C++;24452;1000;21468;20723;0.9653;0
ripienaar/free-for-dev;118182;2015-03-18;2026-02-28;10.95;HTML;2888;0;0;0;0;0
excalidraw/excalidraw;117701;2020-01-01;2026-02-28;6.16;TypeScript;3834;14;4634;2538;0.5477;0
justjavac/free-programming-books-zh_CN;116366;2013-11-03;2026-02-28;12.32;(não detectada);282;3;0;0;0;0
nodejs/node;115991;2014-11-26;2026-02-28;11.26;JavaScript;11851;483;20073;18316;0.9125;0
anomalyco/opencode;112993;2025-04-30;2026-02-28;0.83;TypeScript;2531;725;9351;4938;0.5281;0
d3/d3;112436;2010-09-27;2026-02-28;15.42;Shell;494;194;2239;2229;0.9955;0
iptv-org/iptv;112188;2018-11-14;2026-02-28;7.29;TypeScript;6814;0;21578;21238;0.9842;0
mrdoob/three.js;111111;2010-03-23;2026-02-28;15.94;JavaScript;15215;175;13500;13056;0.9671;0
rust-lang/rust;110780;2010-06-16;2026-02-28;15.70;Rust;69436;146;61536;50427;0.8195;0
axios/axios;108584;2014-08-18;2026-02-28;11.53;JavaScript;1132;109;4955;4754;0.9594;0
rustdesk/rustdesk;108321;2020-09-28;2026-02-28;5.42;Rust;3937;35;3997;3932;0.9837;0
microsoft/TypeScript;107971;2014-06-17;2026-02-28;11.70;TypeScript;14852;214;42956;37982;0.8842;0
Hack-with-Github/Awesome-Hacking;107485;2016-03-30;2026-02-28;9.92;(não detectada);34;0;0;0;0;0
shadcn-ui/ui;107470;2023-01-04;2026-02-28;3.15;TypeScript;1000;75;3921;2931;0.7475;0
microsoft/generative-ai-for-beginners;107238;2023-06-19;2026-02-28;2.70;Jupyter Notebook;521;0;206;201;0.9757;0
godotengine/godot;107182;2014-01-04;2026-02-28;12.15;C++;41353;66;61198;48228;0.7881;0
GrowingGit/GitHub-Chinese-Top-Charts;106418;2019-09-05;2026-02-28;6.49;Java;0;0;343;162;0.4723;0
denoland/deno;106286;2018-05-14;2026-02-28;7.79;Rust;14209;365;13943;11511;0.8256;0
goldbergyoni/nodebestpractices;105136;2017-09-15;2026-02-28;8.46;Dockerfile;766;0;332;286;0.8614;0
fatedier/frp;104757;2015-12-21;2026-02-28;10.19;Go;727;109;4054;4017;0.9909;0
Comfy-Org/ComfyUI;104491;2023-01-17;2026-02-28;3.12;Python;2170;121;7927;4481;0.5653;0
facebook/create-react-app;103833;2016-07-17;2026-02-28;9.62;JavaScript;1949;83;8420;6573;0.7806;0
papers-we-love/papers-we-love;103691;2013-12-15;2026-02-28;12.21;Shell;439;0;247;245;0.9919;0
tauri-apps/tauri;103423;2019-07-13;2026-02-28;6.63;Rust;5390;0;6160;4906;0.7964;0
microsoft/terminal;101946;2017-08-11;2026-02-28;8.55;C++;4373;146;13807;12164;0.8810;0
