cwe_id,cves_count,cvss_medio,rank_severity,high_critical_pct,cwe_nome_curto,cwe_label,faixa_cvss_medio,top30_cvss
CWE-144,2,7.1,328,50.0,CWE-144,CWE-144,HIGH,False
CWE-943,18,7.1,329,50.0,CWE-943,CWE-943,HIGH,False
CWE-1241,4,7.1,330,75.0,CWE-1241,CWE-1241,HIGH,False
CWE-522,1246,7.1,331,53.21,Insufficiently Protected Credentials,CWE-522 - Insufficiently Protected Credentials,HIGH,False
CWE-291,6,7.08,332,66.67,CWE-291,CWE-291,HIGH,False
CWE-697,138,7.08,333,55.07,CWE-697,CWE-697,HIGH,False
CWE-253,15,7.08,334,66.67,CWE-253,CWE-253,HIGH,False
CWE-140,14,7.08,335,42.86,CWE-140,CWE-140,HIGH,False
CWE-334,12,7.07,336,58.33,CWE-334,CWE-334,HIGH,False
CWE-911,12,7.07,337,75.0,CWE-911,CWE-911,HIGH,False
CWE-19,233,7.06,338,60.52,CWE-19,CWE-19,HIGH,False
CWE-941,7,7.06,339,71.43,CWE-941,CWE-941,HIGH,False
CWE-234,2,7.05,340,50.0,CWE-234,CWE-234,HIGH,False
CWE-488,19,7.05,341,63.16,CWE-488,CWE-488,HIGH,False
CWE-1326,9,7.04,342,77.78,CWE-1326,CWE-1326,HIGH,False
CWE-1050,7,7.04,343,71.43,CWE-1050,CWE-1050,HIGH,False
CWE-776,66,7.04,344,54.55,CWE-776,CWE-776,HIGH,False
CWE-22,7952,7.04,345,56.59,Path Traversal,CWE-22 - Path Traversal,HIGH,False
CWE-276,1420,7.04,346,60.77,Incorrect Default Permissions,CWE-276 - Incorrect Default Permissions,HIGH,False
CWE-732,1544,7.03,347,60.69,Incorrect Permission Assignment,CWE-732 - Incorrect Permission Assignment,HIGH,False
CWE-412,4,7.02,348,75.0,CWE-412,CWE-412,HIGH,False
CWE-410,18,7.02,349,66.67,CWE-410,CWE-410,HIGH,False
CWE-292,1,7.0,350,100.0,CWE-292,CWE-292,HIGH,False
CWE-1313,1,7.0,351,100.0,CWE-1313,CWE-1313,HIGH,False
CWE-1068,3,7.0,352,66.67,CWE-1068,CWE-1068,HIGH,False
