cwe_id,cwe_nome_curto,cwe_label
CWE-587,CWE-587,CWE-587
CWE-588,CWE-588,CWE-588
CWE-59,Link Following,CWE-59 - Link Following
CWE-590,CWE-590,CWE-590
CWE-591,CWE-591,CWE-591
CWE-592,CWE-592,CWE-592
CWE-597,CWE-597,CWE-597
CWE-598,CWE-598,CWE-598
CWE-599,CWE-599,CWE-599
CWE-6,CWE-6,CWE-6
CWE-600,CWE-600,CWE-600
CWE-601,Open Redirect,CWE-601 - Open Redirect
CWE-602,CWE-602,CWE-602
CWE-603,CWE-603,CWE-603
CWE-605,CWE-605,CWE-605
CWE-606,CWE-606,CWE-606
CWE-61,CWE-61,CWE-61
CWE-610,CWE-610,CWE-610
CWE-611,XXE,CWE-611 - XXE
CWE-612,CWE-612,CWE-612
CWE-613,CWE-613,CWE-613
CWE-614,CWE-614,CWE-614
CWE-615,CWE-615,CWE-615
CWE-616,CWE-616,CWE-616
CWE-617,CWE-617,CWE-617
CWE-618,CWE-618,CWE-618
CWE-62,CWE-62,CWE-62
CWE-620,CWE-620,CWE-620
CWE-621,CWE-621,CWE-621
CWE-622,CWE-622,CWE-622
CWE-623,CWE-623,CWE-623
CWE-624,CWE-624,CWE-624
CWE-625,CWE-625,CWE-625
CWE-626,CWE-626,CWE-626
CWE-627,CWE-627,CWE-627
CWE-628,CWE-628,CWE-628
CWE-636,CWE-636,CWE-636
CWE-638,CWE-638,CWE-638
CWE-639,IDOR,CWE-639 - IDOR
CWE-64,CWE-64,CWE-64
CWE-640,CWE-640,CWE-640
CWE-641,CWE-641,CWE-641
CWE-642,CWE-642,CWE-642
CWE-643,CWE-643,CWE-643
CWE-644,CWE-644,CWE-644
CWE-645,CWE-645,CWE-645
CWE-646,CWE-646,CWE-646
CWE-647,CWE-647,CWE-647
CWE-648,CWE-648,CWE-648
CWE-649,CWE-649,CWE-649
CWE-65,CWE-65,CWE-65
CWE-650,CWE-650,CWE-650
CWE-652,CWE-652,CWE-652
CWE-653,CWE-653,CWE-653
CWE-654,CWE-654,CWE-654
CWE-656,CWE-656,CWE-656
CWE-657,CWE-657,CWE-657
CWE-66,CWE-66,CWE-66
CWE-662,CWE-662,CWE-662
CWE-664,CWE-664,CWE-664
CWE-665,CWE-665,CWE-665
CWE-667,CWE-667,CWE-667
CWE-668,CWE-668,CWE-668
CWE-669,CWE-669,CWE-669
CWE-67,CWE-67,CWE-67
CWE-670,CWE-670,CWE-670
CWE-671,CWE-671,CWE-671
CWE-672,CWE-672,CWE-672
CWE-673,CWE-673,CWE-673
CWE-674,CWE-674,CWE-674
CWE-675,CWE-675,CWE-675
CWE-676,CWE-676,CWE-676
CWE-680,CWE-680,CWE-680
CWE-681,CWE-681,CWE-681
CWE-682,CWE-682,CWE-682
CWE-683,CWE-683,CWE-683
CWE-684,CWE-684,CWE-684
CWE-686,CWE-686,CWE-686
CWE-687,CWE-687,CWE-687
CWE-688,CWE-688,CWE-688
CWE-689,CWE-689,CWE-689
CWE-69,CWE-69,CWE-69
CWE-690,CWE-690,CWE-690
CWE-691,CWE-691,CWE-691
CWE-692,CWE-692,CWE-692
CWE-693,CWE-693,CWE-693
CWE-694,CWE-694,CWE-694
CWE-696,CWE-696,CWE-696
CWE-697,CWE-697,CWE-697
CWE-698,CWE-698,CWE-698
CWE-701,CWE-701,CWE-701
CWE-702,CWE-702,CWE-702
CWE-703,CWE-703,CWE-703
CWE-704,CWE-704,CWE-704
CWE-705,CWE-705,CWE-705
CWE-706,CWE-706,CWE-706
CWE-707,CWE-707,CWE-707
CWE-708,CWE-708,CWE-708
CWE-710,CWE-710,CWE-710
CWE-714,CWE-714,CWE-714
CWE-73,CWE-73,CWE-73
CWE-730,CWE-730,CWE-730
CWE-732,Incorrect Permission Assignment,CWE-732 - Incorrect Permission Assignment
CWE-733,CWE-733,CWE-733
CWE-74,Injection (umbrella),CWE-74 - Injection (umbrella)
CWE-749,CWE-749,CWE-749
CWE-75,CWE-75,CWE-75
CWE-754,CWE-754,CWE-754
CWE-755,CWE-755,CWE-755
CWE-756,CWE-756,CWE-756
CWE-757,CWE-757,CWE-757
CWE-758,CWE-758,CWE-758
CWE-759,CWE-759,CWE-759
CWE-76,CWE-76,CWE-76
CWE-760,CWE-760,CWE-760
CWE-761,CWE-761,CWE-761
CWE-762,CWE-762,CWE-762
CWE-763,CWE-763,CWE-763
CWE-765,CWE-765,CWE-765
CWE-767,CWE-767,CWE-767
CWE-769,CWE-769,CWE-769
CWE-77,Command Injection,CWE-77 - Command Injection
CWE-770,Allocation Without Limits,CWE-770 - Allocation Without Limits
CWE-771,CWE-771,CWE-771
CWE-772,CWE-772,CWE-772
CWE-774,CWE-774,CWE-774
CWE-775,CWE-775,CWE-775
CWE-776,CWE-776,CWE-776
CWE-778,CWE-778,CWE-778
CWE-779,CWE-779,CWE-779
CWE-78,OS Command Injection,CWE-78 - OS Command Injection
CWE-780,CWE-780,CWE-780
CWE-782,CWE-782,CWE-782
CWE-783,CWE-783,CWE-783
CWE-784,CWE-784,CWE-784
CWE-786,CWE-786,CWE-786
CWE-787,Out-of-bounds Write,CWE-787 - Out-of-bounds Write
CWE-788,CWE-788,CWE-788
CWE-789,CWE-789,CWE-789
CWE-79,XSS,CWE-79 - XSS
CWE-790,CWE-790,CWE-790
CWE-791,CWE-791,CWE-791
CWE-792,CWE-792,CWE-792
CWE-794,CWE-794,CWE-794
CWE-798,Hard-coded Credentials,CWE-798 - Hard-coded Credentials
CWE-799,CWE-799,CWE-799
CWE-80,CWE-80,CWE-80
CWE-804,CWE-804,CWE-804
CWE-805,CWE-805,CWE-805
CWE-807,CWE-807,CWE-807
CWE-81,CWE-81,CWE-81
CWE-815,CWE-815,CWE-815
CWE-82,CWE-82,CWE-82
CWE-820,CWE-820,CWE-820
CWE-821,CWE-821,CWE-821
CWE-822,CWE-822,CWE-822
CWE-823,CWE-823,CWE-823
CWE-824,CWE-824,CWE-824
CWE-825,CWE-825,CWE-825
CWE-826,CWE-826,CWE-826
CWE-827,CWE-827,CWE-827
CWE-828,CWE-828,CWE-828
CWE-829,CWE-829,CWE-829
CWE-83,CWE-83,CWE-83
CWE-830,CWE-830,CWE-830
CWE-832,CWE-832,CWE-832
CWE-833,CWE-833,CWE-833
CWE-834,CWE-834,CWE-834
CWE-835,CWE-835,CWE-835
CWE-836,CWE-836,CWE-836
CWE-837,CWE-837,CWE-837
CWE-838,CWE-838,CWE-838
CWE-839,CWE-839,CWE-839
CWE-84,CWE-84,CWE-84
CWE-840,CWE-840,CWE-840
CWE-841,CWE-841,CWE-841
CWE-842,CWE-842,CWE-842
CWE-843,CWE-843,CWE-843
CWE-85,CWE-85,CWE-85
CWE-86,CWE-86,CWE-86
