cwe_id,cves_count,rank_freq,pct_acumulado,cwe_nome_curto,cwe_label,pct_do_total,in_pareto80,top30
CWE-636,13,348,99.38,CWE-636,CWE-636,0.005,False,False
CWE-394,13,349,99.39,CWE-394,CWE-394,0.005,False,False
CWE-1327,13,350,99.39,CWE-1327,CWE-1327,0.005,False,False
CWE-1259,13,351,99.4,CWE-1259,CWE-1259,0.005,False,False
CWE-1386,13,352,99.4,CWE-1386,CWE-1386,0.005,False,False
CWE-390,13,353,99.41,CWE-390,CWE-390,0.005,False,False
CWE-176,13,354,99.41,CWE-176,CWE-176,0.005,False,False
CWE-526,13,355,99.42,CWE-526,CWE-526,0.005,False,False
CWE-229,13,356,99.42,CWE-229,CWE-229,0.005,False,False
CWE-228,13,357,99.43,CWE-228,CWE-228,0.005,False,False
CWE-366,13,358,99.43,CWE-366,CWE-366,0.005,False,False
CWE-838,12,359,99.43,CWE-838,CWE-838,0.004,False,False
CWE-1394,12,360,99.44,CWE-1394,CWE-1394,0.004,False,False
CWE-1022,12,361,99.44,CWE-1022,CWE-1022,0.004,False,False
CWE-599,12,362,99.45,CWE-599,CWE-599,0.004,False,False
CWE-911,12,363,99.45,CWE-911,CWE-911,0.004,False,False
CWE-759,12,364,99.46,CWE-759,CWE-759,0.004,False,False
CWE-836,12,365,99.46,CWE-836,CWE-836,0.004,False,False
CWE-351,12,366,99.46,CWE-351,CWE-351,0.004,False,False
CWE-1263,12,367,99.47,CWE-1263,CWE-1263,0.004,False,False
CWE-334,12,368,99.47,CWE-334,CWE-334,0.004,False,False
CWE-830,12,369,99.48,CWE-830,CWE-830,0.004,False,False
CWE-1240,11,370,99.48,CWE-1240,CWE-1240,0.004,False,False
CWE-25,11,371,99.49,CWE-25,CWE-25,0.004,False,False
CWE-475,11,372,99.49,CWE-475,CWE-475,0.004,False,False
CWE-413,11,373,99.49,CWE-413,CWE-413,0.004,False,False
CWE-31,11,374,99.5,CWE-31,CWE-31,0.004,False,False
CWE-419,11,375,99.5,CWE-419,CWE-419,0.004,False,False
CWE-337,11,376,99.5,CWE-337,CWE-337,0.004,False,False
CWE-804,11,377,99.51,CWE-804,CWE-804,0.004,False,False
CWE-641,11,378,99.51,CWE-641,CWE-641,0.004,False,False
